Scientific_name,English_name_AviList,Portuguese (Brazil),IUCN_Red_List_Category
Cracidae,,,
Penelopina,,,
Penelopina nigra,Highland Guan,highland guan,VU
Chamaepetes,,,
Chamaepetes unicolor,Black Guan,black guan,LC
Chamaepetes goudotii,Sickle-winged Guan,sickle-winged guan,LC
Chamaepetes goudotii goudotii,,,
Chamaepetes goudotii sanctaemarthae,,,
Chamaepetes goudotii fagani,,,
Chamaepetes goudotii tschudii,,,
Chamaepetes goudotii rufiventris,,,
Aburria,,,
Aburria aburri,Wattled Guan,wattled guan,LC
Pipile,,,
Pipile pipile,Trinidad Piping Guan,trinidad piping-guan,CR
Pipile cumanensis,Blue-throated Piping Guan,jacutinga-de-garganta-azul,LC
Pipile grayi,White-throated Piping Guan,jacutinga-de-garganta-branca,NT
Pipile cujubi,Red-throated Piping Guan,cujubi,VU
Pipile cujubi cujubi,,,
Pipile cujubi nattereri,,,
Pipile jacutinga,Black-fronted Piping Guan,jacutinga,EN
Penelope,,,
Penelope argyrotis,Band-tailed Guan,band-tailed guan,LC
Penelope argyrotis colombiana,,,
Penelope argyrotis albicauda,,,
Penelope argyrotis argyrotis,,,
Penelope barbata,Bearded Guan,bearded guan,NT
Penelope ortoni,Baudo Guan,baudo guan,EN
Penelope montagnii,Andean Guan,andean guan,LC
Penelope montagnii montagnii,,,
Penelope montagnii atrogularis,,,
Penelope montagnii brooki,,,
Penelope montagnii plumosa,,,
Penelope montagnii sclateri,,,
Penelope marail,Marail Guan,jacumirim,LC
Penelope marail jacupeba,,,
Penelope marail marail,,,
Penelope superciliaris,Rusty-margined Guan,jacupemba,NT
Penelope superciliaris pseudonyma,,,
Penelope superciliaris superciliaris,,,
Penelope superciliaris jacupemba,,,
Penelope superciliaris major,,,
Penelope dabbenei,Red-faced Guan,red-faced guan,LC
Penelope jacquacu,Spix's Guan,jacu-de-spix,LC
Penelope jacquacu granti,,,
Penelope jacquacu orienticola,,,
Penelope jacquacu jacquacu,,,
Penelope jacquacu speciosa,,,
Penelope purpurascens,Crested Guan,crested guan,NT
Penelope purpurascens purpurascens,,,
Penelope purpurascens aequatorialis,,,
Penelope purpurascens brunnescens,,,
Penelope perspicax,Cauca Guan,cauca guan,VU
Penelope albipennis,White-winged Guan,white-winged guan,EN
Penelope obscura,Dusky-legged Guan,jacuguaçu,NE
Penelope bridgesi,Yungas Guan,yungas guan,NE
Penelope pileata,White-crested Guan,jacupiranga,VU
Penelope ochrogaster,Chestnut-bellied Guan,jacu-de-barriga-castanha,VU
Penelope jacucaca,White-browed Guan,jacucaca,VU
Oreophasis,,,
Oreophasis derbianus,Horned Guan,horned guan,EN
Crax,,,
Crax rubra,Great Curassow,great curassow,VU
Crax rubra rubra,,,
Crax rubra griscomi,,,
Crax alberti,Blue-billed Curassow,blue-billed curassow,CR
Crax daubentoni,Yellow-knobbed Curassow,yellow-knobbed curassow,NT
Crax alector,Black Curassow,mutum-poranga,LC
Crax alector alector,,,
Crax alector erythrognatha,,,
Crax globulosa,Wattled Curassow,mutum-de-fava,EN
Crax fasciolata,Bare-faced Curassow,mutum-de-penacho,NE
Crax fasciolata fasciolata,,,
Crax fasciolata pinima,,,
Crax fasciolata grayi,,,
Crax blumenbachii,Red-billed Curassow,mutum-de-bico-vermelho,EN
Pauxi,,,
Pauxi pauxi,Helmeted Curassow,helmeted curassow,VU
Pauxi pauxi pauxi,,,
Pauxi pauxi gilliardi,,,
Pauxi koepckeae,Sira Curassow,sira curassow,CR
Pauxi unicornis,Horned Curassow,horned curassow,EN
Nothocrax,,,
Nothocrax urumutum,Nocturnal Curassow,urumutum,LC
Mitu,,,
Mitu tomentosum,Crestless Curassow,mutum-do-norte,LC
Mitu salvini,Salvin's Curassow,salvin's curassow,LC
Mitu tuberosum,Razor-billed Curassow,mutum-cavalo,NT
Mitu mitu,Alagoas Curassow,mutum-do-nordeste,EW
Ortalis,,,
Ortalis vetula,Plain Chachalaca,plain chachalaca,LC
Ortalis vetula mccalli,,,
Ortalis vetula vetula,,,
Ortalis vetula pallidiventris,,,
Ortalis vetula deschauenseei,,,
Ortalis cinereiceps,Grey-headed Chachalaca,gray-headed chachalaca,LC
Ortalis garrula,Chestnut-winged Chachalaca,chestnut-winged chachalaca,LC
Ortalis ruficauda,Rufous-vented Chachalaca,rufous-vented chachalaca,LC
Ortalis ruficauda ruficrissa,,,
Ortalis ruficauda ruficauda,,,
Ortalis erythroptera,Rufous-headed Chachalaca,rufous-headed chachalaca,VU
Ortalis wagleri,Rufous-bellied Chachalaca,rufous-bellied chachalaca,LC
Ortalis poliocephala,West Mexican Chachalaca,west mexican chachalaca,LC
Ortalis canicollis,Chaco Chachalaca,aracuã-do-pantanal,LC
Ortalis canicollis canicollis,,,
Ortalis canicollis pantanalensis,,,
Ortalis leucogastra,White-bellied Chachalaca,white-bellied chachalaca,LC
Ortalis columbiana,Colombian Chachalaca,colombian chachalaca,LC
Ortalis guttata,Speckled Chachalaca,aracuã-pintado/aracuã-guarda-faca,LC
Ortalis guttata guttata,,,
Ortalis guttata subaffinis,,,
Ortalis guttata remota,,,
Ortalis araucuan,East Brazilian Chachalaca,aracuã-de-barriga-branca,LC
Ortalis squamata,Scaled Chachalaca,aracuã-escamoso,LC
Ortalis motmot,Little Chachalaca,aracuã-pequeno,NE
Ortalis ruficeps,Chestnut-headed Chachalaca,aracuãzinho,NE
Ortalis superciliaris,Buff-browed Chachalaca,aracuã-de-sobrancelhas,LC
Numididae,,,
Numida,,,
Numida meleagris,Helmeted Guineafowl,galinha-d'angola,LC
Numida meleagris sabyi,,,
Numida meleagris galeatus,,,
Numida meleagris meleagris,,,
Numida meleagris somaliensis,,,
Numida meleagris reichenowi,,,
Numida meleagris mitratus,,,
Numida meleagris marungensis,,,
Numida meleagris papillosus,,,
Numida meleagris coronatus,,,
Agelastes,,,
Agelastes meleagrides,White-breasted Guineafowl,white-breasted guineafowl,VU
Agelastes niger,Black Guineafowl,black guineafowl,LC
Acryllium,,,
Acryllium vulturinum,Vulturine Guineafowl,vulturine guineafowl,LC
Guttera,,,
Guttera plumifera,Plumed Guineafowl,plumed guineafowl,LC
Guttera plumifera plumifera,,,
Guttera plumifera schubotzi,,,
Guttera pucherani,Eastern Crested Guineafowl,eastern crested guineafowl,LC
Guttera verreauxi,Western Crested Guineafowl,western crested guineafowl,LC
Guttera verreauxi verreauxi,,,
Guttera verreauxi sclateri,,,
Guttera edouardi,Southern Crested Guineafowl,southern crested guineafowl,LC
Guttera edouardi barbata,,,
Guttera edouardi edouardi,,,
Odontophoridae,,,
Ptilopachus,,,
Ptilopachus nahani,Nahan's Partridge,nahan's partridge,VU
Ptilopachus petrosus,Stone Partridge,galinha-da-pedra,LC
Ptilopachus petrosus petrosus,,,
Ptilopachus petrosus brehmi,,,
Ptilopachus petrosus major,,,
Ptilopachus petrosus florentiae,,,
Rhynchortyx,,,
Rhynchortyx cinctus,Tawny-faced Quail,tawny-faced quail,NT
Rhynchortyx cinctus pudibundus,,,
Rhynchortyx cinctus cinctus,,,
Rhynchortyx cinctus australis,,,
Oreortyx,,,
Oreortyx pictus,Mountain Quail,mountain quail,LC
Oreortyx pictus pictus,,,
Oreortyx pictus plumifer,,,
Oreortyx pictus russelli,,,
Oreortyx pictus eremophilus,,,
Oreortyx pictus confinis,,,
Dendrortyx,,,
Dendrortyx leucophrys,Buffy-crowned Wood Partridge,buffy-crowned wood-partridge,LC
Dendrortyx leucophrys leucophrys,,,
Dendrortyx leucophrys hypospodius,,,
Dendrortyx macroura,Long-tailed Wood Partridge,long-tailed wood-partridge,LC
Dendrortyx macroura macroura,,,
Dendrortyx macroura griseipectus,,,
Dendrortyx macroura diversus,,,
Dendrortyx macroura striatus,,,
Dendrortyx macroura inesperatus,,,
Dendrortyx macroura oaxacae,,,
Dendrortyx barbatus,Bearded Wood Partridge,bearded wood-partridge,VU
Philortyx,,,
Philortyx fasciatus,Banded Quail,banded quail,LC
Colinus,,,
Colinus virginianus,Northern Bobwhite,codorniz-da-virgínia,NT
Colinus virginianus virginianus,,,
Colinus virginianus floridanus,,,
Colinus virginianus insulanus,,,
Colinus virginianus cubanensis,,,
Colinus virginianus taylori,,,
Colinus virginianus ridgwayi,,,
Colinus virginianus texanus,,,
Colinus virginianus maculatus,,,
Colinus virginianus aridus,,,
Colinus virginianus graysoni,,,
Colinus virginianus nigripectus,,,
Colinus virginianus pectoralis,,,
Colinus virginianus godmani,,,
Colinus virginianus minor,,,
Colinus virginianus insignis,,,
Colinus virginianus salvini,,,
Colinus virginianus coyoleos,,,
Colinus virginianus thayeri,,,
Colinus virginianus harrisoni,,,
Colinus virginianus atriceps,,,
Colinus nigrogularis,Yucatan Bobwhite,black-throated bobwhite,LC
Colinus nigrogularis caboti,,,
Colinus nigrogularis persiccus,,,
Colinus nigrogularis nigrogularis,,,
Colinus nigrogularis segoviensis,,,
Colinus leucopogon,Spot-bellied Bobwhite,spot-bellied bobwhite,LC
Colinus leucopogon incanus,,,
Colinus leucopogon hypoleucus,,,
Colinus leucopogon leucopogon,,,
Colinus leucopogon leylandi,,,
Colinus leucopogon sclateri,,,
Colinus leucopogon dickeyi,,,
Colinus cristatus,Crested Bobwhite,uru-do-campo,LC
Colinus cristatus mariae,,,
Colinus cristatus panamensis,,,
Colinus cristatus decoratus,,,
Colinus cristatus littoralis,,,
Colinus cristatus cristatus,,,
Colinus cristatus horvathi,,,
Colinus cristatus barnesi,,,
Colinus cristatus sonnini,,,
Colinus cristatus mocquerysi,,,
Colinus cristatus leucotis,,,
Colinus cristatus badius,,,
Colinus cristatus bogotensis,,,
Colinus cristatus parvicristatus,,,
Callipepla,,,
Callipepla gambelii,Gambel's Quail,gambel's quail,LC
Callipepla gambelii gambelii,,,
Callipepla gambelii ignoscens,,,
Callipepla gambelii fulvipectus,,,
Callipepla gambelii stephensi,,,
Callipepla californica,California Quail,codorniz-da-califórnia,LC
Callipepla californica brunnescens,,,
Callipepla californica canfieldae,,,
Callipepla californica californica,,,
Callipepla californica catalinensis,,,
Callipepla californica achrustera,,,
Callipepla squamata,Scaled Quail,scaled quail,LC
Callipepla squamata pallida,,,
Callipepla squamata hargravei,,,
Callipepla squamata castanogastris,,,
Callipepla squamata squamata,,,
Callipepla douglasii,Elegant Quail,elegant quail,LC
Callipepla douglasii douglasii,,,
Callipepla douglasii bensoni,,,
Callipepla douglasii impedita,,,
Callipepla douglasii teres,,,
Callipepla douglasii vanderbilti,,,
Cyrtonyx,,,
Cyrtonyx ocellatus,Ocellated Quail,ocellated quail,VU
Cyrtonyx montezumae,Montezuma Quail,montezuma quail,NE
Cyrtonyx montezumae mearnsi,,,
Cyrtonyx montezumae montezumae,,,
Cyrtonyx montezumae rowleyi,,,
Cyrtonyx montezumae sallei,,,
Dactylortyx,,,
Dactylortyx thoracicus,Singing Quail,singing quail,LC
Dactylortyx thoracicus pettingilli,,,
Dactylortyx thoracicus thoracicus,,,
Dactylortyx thoracicus sharpei,,,
Dactylortyx thoracicus paynteri,,,
Dactylortyx thoracicus devius,,,
Dactylortyx thoracicus melodus,,,
Dactylortyx thoracicus chiapensis,,,
Dactylortyx thoracicus dolichonyx,,,
Dactylortyx thoracicus salvadoranus,,,
Dactylortyx thoracicus fuscus,,,
Dactylortyx thoracicus conoveri,,,
Odontophorus,,,
Odontophorus gujanensis,Marbled Wood Quail,uru-corcovado,LC
Odontophorus gujanensis castigatus,,,
Odontophorus gujanensis marmoratus,,,
Odontophorus gujanensis medius,,,
Odontophorus gujanensis gujanensis,,,
Odontophorus gujanensis buckleyi,,,
Odontophorus gujanensis rufogularis,,,
Odontophorus gujanensis pachyrhynchus,,,
Odontophorus gujanensis simonsi,,,
Odontophorus capueira,Spot-winged Wood Quail,uru,LC
Odontophorus melanotis,Black-eared Wood Quail,black-eared wood-quail,NT
Odontophorus melanotis verecundus,,,
Odontophorus melanotis melanotis,,,
Odontophorus atrifrons,Black-fronted Wood Quail,black-fronted wood-quail,LC
Odontophorus atrifrons atrifrons,,,
Odontophorus atrifrons variegatus,,,
Odontophorus atrifrons navai,,,
Odontophorus erythrops,Rufous-fronted Wood Quail,rufous-fronted wood-quail,LC
Odontophorus erythrops parambae,,,
Odontophorus erythrops erythrops,,,
Odontophorus hyperythrus,Chestnut Wood Quail,chestnut wood-quail,LC
Odontophorus melanonotus,Dark-backed Wood Quail,dark-backed wood-quail,LC
Odontophorus speciosus,Rufous-breasted Wood Quail,rufous-breasted wood-quail,LC
Odontophorus speciosus soderstromii,,,
Odontophorus speciosus speciosus,,,
Odontophorus speciosus loricatus,,,
Odontophorus dialeucos,Tacarcuna Wood Quail,tacarcuna wood-quail,LC
Odontophorus strophium,Gorgeted Wood Quail,gorgeted wood-quail,VU
Odontophorus columbianus,Venezuelan Wood Quail,venezuelan wood-quail,NT
Odontophorus leucolaemus,Black-breasted Wood Quail,black-breasted wood-quail,LC
Odontophorus balliviani,Stripe-faced Wood Quail,stripe-faced wood-quail,LC
Odontophorus stellatus,Starred Wood Quail,uru-de-topete,LC
Odontophorus guttatus,Spotted Wood Quail,spotted wood-quail,LC
Phasianidae,,,
Xenoperdix,,,
Xenoperdix udzungwensis,Udzungwa Forest Partridge,udzungwa partridge,EN
Xenoperdix udzungwensis udzungwensis,,,
Xenoperdix udzungwensis obscuratus,,,
Caloperdix,,,
Caloperdix oculeus,Ferruginous Partridge,ferruginous partridge,NT
Caloperdix oculeus oculeus,,,
Caloperdix oculeus ocellatus,,,
Caloperdix oculeus borneensis,,,
Rollulus,,,
Rollulus rouloul,Crested Partridge,crested partridge,VU
Melanoperdix,,,
Melanoperdix niger,Black Partridge,black partridge,VU
Melanoperdix niger niger,,,
Melanoperdix niger borneensis,,,
Arborophila,,,
Arborophila torqueola,Hill Partridge,hill partridge,LC
Arborophila torqueola millardi,,,
Arborophila torqueola torqueola,,,
Arborophila torqueola interstincta,,,
Arborophila torqueola batemani,,,
Arborophila torqueola griseata,,,
Arborophila rufipectus,Sichuan Partridge,sichuan partridge,VU
Arborophila mandellii,Chestnut-breasted Partridge,chestnut-breasted partridge,NT
Arborophila gingica,White-necklaced Partridge,white-necklaced partridge,NT
Arborophila gingica gingica,,,
Arborophila gingica guangxiensis,,,
Arborophila rufogularis,Rufous-throated Partridge,rufous-throated partridge,LC
Arborophila rufogularis rufogularis,,,
Arborophila rufogularis intermedia,,,
Arborophila rufogularis tickelli,,,
Arborophila rufogularis euroa,,,
Arborophila rufogularis guttata,,,
Arborophila rufogularis annamensis,,,
Arborophila rubrirostris,Red-billed Partridge,red-billed partridge,LC
Arborophila cambodiana,Chestnut-headed Partridge,chestnut-headed partridge,NT
Arborophila cambodiana diversa,,,
Arborophila cambodiana cambodiana,,,
Arborophila cambodiana chandamonyi,,,
Arborophila ardens,Hainan Partridge,hainan partridge,VU
Arborophila crudigularis,Taiwan Partridge,taiwan partridge,LC
Arborophila atrogularis,White-cheeked Partridge,white-cheeked partridge,LC
Arborophila brunneopectus,Bar-backed Partridge,bar-backed partridge,LC
Arborophila brunneopectus brunneopectus,,,
Arborophila brunneopectus henrici,,,
Arborophila brunneopectus albigula,,,
Arborophila davidi,Orange-necked Partridge,orange-necked partridge,NT
Arborophila hyperythra,Red-breasted Partridge,red-breasted partridge,LC
Arborophila campbelli,Malayan Partridge,malayan partridge,LC
Arborophila rolli,Roll's Partridge,roll's partridge,LC
Arborophila sumatrana,Sumatran Partridge,sumatran partridge,LC
Arborophila javanica,Chestnut-bellied Partridge,chestnut-bellied partridge,LC
Arborophila javanica javanica,,,
Arborophila javanica lawuana,,,
Arborophila orientalis,Grey-breasted Partridge,gray-breasted partridge,VU
Lerwa,,,
Lerwa lerwa,Snow Partridge,snow partridge,LC
Ithaginis,,,
Ithaginis cruentus,Blood Pheasant,blood pheasant,LC
Ithaginis cruentus cruentus,,,
Ithaginis cruentus affinis,,,
Ithaginis cruentus tibetanus,,,
Ithaginis cruentus kuseri,,,
Ithaginis cruentus marionae,,,
Ithaginis cruentus rocki,,,
Ithaginis cruentus clarkei,,,
Ithaginis cruentus geoffroyi,,,
Ithaginis cruentus berezowskii,,,
Ithaginis cruentus beicki,,,
Ithaginis cruentus michaelis,,,
Ithaginis cruentus sinensis,,,
Tragopan,,,
Tragopan melanocephalus,Western Tragopan,western tragopan,VU
Tragopan satyra,Satyr Tragopan,satyr tragopan,LC
Tragopan blythii,Blyth's Tragopan,blyth's tragopan,VU
Tragopan blythii molesworthi,,,
Tragopan blythii blythii,,,
Tragopan temminckii,Temminck's Tragopan,temminck's tragopan,LC
Tragopan caboti,Cabot's Tragopan,cabot's tragopan,VU
Tragopan caboti caboti,,,
Tragopan caboti guangxiensis,,,
Tetraophasis,,,
Tetraophasis obscurus,Chestnut-throated Monal-Partridge,chestnut-throated monal-partridge,LC
Tetraophasis szechenyii,Buff-throated Monal-Partridge,buff-throated monal-partridge,LC
Lophophorus,,,
Lophophorus impejanus,Himalayan Monal,monal-do-himalaia,LC
Lophophorus sclateri,Sclater's Monal,sclater's monal,LC
Lophophorus sclateri arunachalensis,,,
Lophophorus sclateri sclateri,,,
Lophophorus sclateri orientalis,,,
Lophophorus lhuysii,Chinese Monal,chinese monal,VU
Rhizothera,,,
Rhizothera longirostris,Long-billed Partridge,long-billed partridge,NT
Rhizothera dulitensis,Dulit Partridge,dulit partridge,DD
Pucrasia,,,
Pucrasia macrolopha,Koklass Pheasant,koklass pheasant,LC
Pucrasia macrolopha castanea,,,
Pucrasia macrolopha biddulphi,,,
Pucrasia macrolopha macrolopha,,,
Pucrasia macrolopha nipalensis,,,
Pucrasia macrolopha meyeri,,,
Pucrasia macrolopha ruficollis,,,
Pucrasia macrolopha xanthospila,,,
Pucrasia macrolopha joretiana,,,
Pucrasia macrolopha darwini,,,
Meleagris,,,
Meleagris ocellata,Ocellated Turkey,ocellated turkey,NT
Meleagris gallopavo,Wild Turkey,peru-bravo,LC
Meleagris gallopavo silvestris,,,
Meleagris gallopavo osceola,,,
Meleagris gallopavo intermedia,,,
Meleagris gallopavo mexicana,,,
Meleagris gallopavo merriami,,,
Meleagris gallopavo gallopavo,,,
Bonasa,,,
Bonasa umbellus,Ruffed Grouse,ruffed grouse,LC
Bonasa umbellus yukonensis,,,
Bonasa umbellus umbelloides,,,
Bonasa umbellus labradorensis,,,
Bonasa umbellus castanea,,,
Bonasa umbellus obscura,,,
Bonasa umbellus sabini,,,
Bonasa umbellus brunnescens,,,
Bonasa umbellus togata,,,
Bonasa umbellus mediana,,,
Bonasa umbellus phaios,,,
Bonasa umbellus incana,,,
Bonasa umbellus monticola,,,
Bonasa umbellus umbellus,,,
Tetrastes,,,
Tetrastes sewerzowi,Chinese Grouse,chinese grouse,NT
Tetrastes sewerzowi sewerzowi,,,
Tetrastes sewerzowi secundus,,,
Tetrastes bonasia,Hazel Grouse,galinha-montês,LC
Tetrastes bonasia rhenanus,,,
Tetrastes bonasia styriacus,,,
Tetrastes bonasia schiebeli,,,
Tetrastes bonasia rupestris,,,
Tetrastes bonasia bonasia,,,
Tetrastes bonasia griseonota,,,
Tetrastes bonasia sibiricus,,,
Tetrastes bonasia kolymensis,,,
Tetrastes bonasia amurensis,,,
Tetrastes bonasia yamashinai,,,
Tetrastes bonasia vicinitas,,,
Centrocercus,,,
Centrocercus urophasianus,Sage Grouse,greater sage-grouse,VU
Centrocercus minimus,Gunnison Grouse,gunnison sage-grouse,EN
Dendragapus,,,
Dendragapus fuliginosus,Sooty Grouse,sooty grouse,LC
Dendragapus fuliginosus sitkensis,,,
Dendragapus fuliginosus fuliginosus,,,
Dendragapus fuliginosus sierrae,,,
Dendragapus fuliginosus howardi,,,
Dendragapus obscurus,Dusky Grouse,dusky grouse,LC
Dendragapus obscurus richardsonii,,,
Dendragapus obscurus pallidus,,,
Dendragapus obscurus oreinus,,,
Dendragapus obscurus obscurus,,,
Tympanuchus,,,
Tympanuchus phasianellus,Sharp-tailed Grouse,sharp-tailed grouse,LC
Tympanuchus phasianellus caurus,,,
Tympanuchus phasianellus kennicotti,,,
Tympanuchus phasianellus phasianellus,,,
Tympanuchus phasianellus columbianus,,,
Tympanuchus phasianellus hueyi,,,
Tympanuchus phasianellus jamesi,,,
Tympanuchus phasianellus campestris,,,
Tympanuchus cupido,Greater Prairie Chicken,greater prairie-chicken,NT
Tympanuchus cupido pinnatus,,,
Tympanuchus cupido attwateri,,,
Tympanuchus cupido cupido,,,
Tympanuchus pallidicinctus,Lesser Prairie Chicken,lesser prairie-chicken,VU
Lagopus,,,
Lagopus leucura,White-tailed Ptarmigan,white-tailed ptarmigan,LC
Lagopus leucura peninsularis,,,
Lagopus leucura leucura,,,
Lagopus leucura rainierensis,,,
