Scientific_name,English_name_AviList,Romanian,IUCN_Red_List_Category
Chloephaga rubidiceps,Ruddy-headed Goose,Ruddy-headed Goose,LC
Radjah,,,
Radjah radjah,Radjah Shelduck,Radjah Shelduck,LC
Radjah radjah radjah,,,
Radjah radjah rufitergum,,,
Alopochen,,,
Alopochen aegyptiaca,Egyptian Goose,Gâscă egipteană,LC
Alopochen mauritiana,Mauritius Sheldgoose,Mauritius Shelduck,EX
Alopochen kervazoi,Reunion Sheldgoose,Reunion Shelduck,EX
Tadorna,,,
Tadorna tadorna,Common Shelduck,Călifar alb,LC
Tadorna cristata,Crested Shelduck,Crested Shelduck,CR
Tadorna cana,South African Shelduck,Călifar sud-african,LC
Tadorna ferruginea,Ruddy Shelduck,Călifar roșu,LC
Tadorna variegata,Paradise Shelduck,Paradise Shelduck,LC
Tadorna tadornoides,Australian Shelduck,Australian Shelduck,LC
Clangula,,,
Clangula hyemalis,Long-tailed Duck,Rață de ghețuri,VU
Polysticta,,,
Polysticta stelleri,Steller's Eider,Eiderul lui Steller,VU
Camptorhynchus,,,
Camptorhynchus labradorius,Labrador Duck,Labrador Duck,EX
Somateria,,,
Somateria fischeri,Spectacled Eider,Eider cu ochelari,NT
Somateria spectabilis,King Eider,Eider cu cap cenușiu,LC
Somateria mollissima,Common Eider,Eider,NT
Somateria mollissima v-nigrum,,,
Somateria mollissima borealis,,,
Somateria mollissima sedentaria,,,
Somateria mollissima dresseri,,,
Somateria mollissima faeroeensis,,,
Somateria mollissima mollissima,,,
Histrionicus,,,
Histrionicus histrionicus,Harlequin Duck,Rață arlechin,LC
Melanitta,,,
Melanitta nigra,Common Scoter,Rață neagră,LC
Melanitta americana,Black Scoter,Rață neagră americană,NT
Melanitta perspicillata,Surf Scoter,Rață neagră cu ochelari,LC
Melanitta fusca,Velvet Scoter,Rață catifelată,VU
Melanitta deglandi,White-winged Scoter,White-winged Scoter,LC
Melanitta stejnegeri,Stejneger's Scoter,Stejneger's Scoter,LC
Bucephala,,,
Bucephala albeola,Bufflehead,Rață sunătoare americană,LC
Bucephala islandica,Barrow's Goldeneye,Rață sunătoare islandeză,LC
Bucephala clangula,Common Goldeneye,Rață sunătoare,LC
Bucephala clangula clangula,,,
Bucephala clangula americana,,,
Mergellus,,,
Mergellus albellus,Smew,Ferestraș mic,LC
Lophodytes,,,
Lophodytes cucullatus,Hooded Merganser,Ferestraș cucuiat,LC
Mergus,,,
Mergus serrator,Red-breasted Merganser,Ferestraș moțat,LC
Mergus squamatus,Scaly-sided Merganser,Scaly-sided Merganser,EN
Mergus octosetaceus,Brazilian Merganser,Brazilian Merganser,CR
Mergus australis,New Zealand Merganser,Auckland Islands Merganser,EX
Mergus merganser,Common Merganser,Ferestraș mare,LC
Mergus merganser merganser,,,
Mergus merganser orientalis,,,
Mergus merganser americanus,,,
Sarkidiornis,,,
Sarkidiornis melanotos,Knob-billed Duck,Knob-billed Duck,LC
Sarkidiornis sylvicola,Comb Duck,Comb Duck,LC
Hymenolaimus,,,
Hymenolaimus malacorhynchos,Blue Duck,Blue Duck,EN
Hymenolaimus malacorhynchos malacorhynchos,,,
Hymenolaimus malacorhynchos hymenolaimus,,,
Chenonetta,,,
Chenonetta jubata,Maned Duck,Maned Duck,LC
Cyanochen,,,
Cyanochen cyanoptera,Blue-winged Goose,Blue-winged Goose,NT
Pteronetta,,,
Pteronetta hartlaubii,Hartlaub's Duck,Hartlaub's Duck,LC
Marmaronetta,,,
Marmaronetta angustirostris,Marbled Duck,Rață porumbacă,NT
Asarcornis,,,
Asarcornis scutulata,White-winged Duck,White-winged Duck,CR
Rhodonessa,,,
Rhodonessa caryophyllacea,Pink-headed Duck,Pink-headed Duck,CR
Netta,,,
Netta rufina,Red-crested Pochard,Rață cu ciuf,LC
Netta erythrophthalma,Southern Pochard,Rață cu ciuf brună,LC
Netta erythrophthalma brunnea,,,
Netta erythrophthalma erythrophthalma,,,
Netta peposaca,Rosy-billed Pochard,Rosy-billed Pochard,LC
Aythya,,,
Aythya nyroca,Ferruginous Duck,Rață roșie,NT
Aythya innotata,Madagascar Pochard,Madagascar Pochard,CR
Aythya baeri,Baer's Pochard,Baer's Pochard,CR
Aythya australis,Hardhead,Hardhead,LC
Aythya ferina,Common Pochard,Rață cu cap castaniu,VU
Aythya valisineria,Canvasback,Rață cu spate alb,LC
Aythya collaris,Ring-necked Duck,Rață cucuiată,LC
Aythya americana,Redhead,Rață cu cap castaniu americană,LC
